state,county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012* (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption* (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption* (%)2012 (Binge- past 30 days >4 drinks one occasion >5 for men),Population,LandArea (mi^2),"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Florida,Washington FL,1104,24,41.36301637,16.21,46.3,39.7,6.5,13.4,"25,473",615.84,49,43.6,36.5,42.8
Georgia,Appling GA,1087,33,35.89963878,17.26,45.6,43.3,5.6,12.7,"18,386",512.15,49.5,41.7,40.7,45.9
Georgia,Atkinson GA,452,4,23.72718819,19.14,39.45,44.8,4.9,12.7,"8,165",344.12,40,38.9,41.4,48.2
Georgia,Bacon GA,613,14,39.04315591,16.66,40.7,43.2,4.8,11.3,"11,164",285.94,42.2,39.2,40,46.4
Georgia,Baker GA,85,5,8.700134597,19.67,49.15,43.5,8.5,15.8,"3,038",349.19,50.7,47.6,39,47.9
Georgia,Baldwin GA,2177,61,167.8005383,18.38,48.9,41.5,6.7,14.6,"44,890",267.52,52.4,45.4,38,45
Georgia,Banks GA,514,8,82.23875492,14.68,47.6,39.1,4.9,11.1,"19,234",233.88,45,50.2,38.7,39.4
Georgia,Barrow GA,2342,47,511.1452257,15.58,49.25,37.9,6.4,15.5,"83,240",162.85,49.4,49.1,36.9,38.8
Georgia,Bartow GA,3083,89,228.9569874,15.63,49.95,36.8,5.6,13.9,"107,738",470.56,49.9,50,37.3,36.3
Georgia,Ben Hill GA,818,26,65.73767911,19.39,41.75,43.8,6.1,13,"16,700",254.04,42.4,41.1,39.7,47.8
Georgia,Berrien GA,466,12,42.36910509,16.48,44.2,42.5,7.2,15.7,"19,397",457.81,45.2,43.2,41,43.9
Georgia,Bibb GA,6215,183,600.2233805,17.24,48.2,39.4,6.6,14.7,"153,159",255.17,51.3,45.1,35.7,43.1
Georgia,Bleckley GA,443,21,58.74326914,16.66,43.05,44.6,5.2,12.6,"12,873",219.14,48.2,37.9,42.2,47
Georgia,Brantley GA,358,11,42.70740211,15.82,45.75,41.7,6,12.7,"19,109",447.44,45.6,45.9,41.3,42.1
Georgia,Brooks GA,529,26,31.049999,18.89,48.2,43,6.3,13.4,"15,457",497.81,49.5,46.9,39,47
Georgia,Bryan GA,1197,13,87.18044617,13.64,57.25,35,8.8,18.1,"39,627",454.54,58.6,55.9,33.2,36.8
Georgia,Bulloch GA,2942,29,115.5547814,16.96,53.75,39.9,7,14.5,"79,608",688.92,57.2,50.3,36.7,43
Georgia,Burke GA,847,10,26.80406198,19.54,44.5,47.4,5.1,12.4,"22,383",835.06,50.1,38.9,41.6,53.2
Georgia,Butts GA,711,43,131.2282918,16.58,44,42.4,5.1,12.4,"24,936",190.02,47,41,40.6,44.1
Georgia,Calhoun GA,251,9,21.82375965,22.19,37.15,49.6,5.3,11.1,"6,189",283.59,39.6,34.7,42.7,56.5
Georgia,Camden GA,1341,16,69.85891734,15.64,55.6,37.1,7.5,15.4,"54,666",782.52,59.5,51.7,36.9,37.2
Georgia,Candler GA,480,22,43.41169379,17.87,46.8,43.3,7.2,15.9,"10,803",248.85,48.6,45,39.7,46.8
Georgia,Carroll GA,2933,70,238.1455166,15.96,48.1,38,6.3,13.8,"119,992",503.86,48.3,47.9,36.2,39.7
