state,county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012* (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption* (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption* (%)2012 (Binge- past 30 days >4 drinks one occasion >5 for men),Population,LandArea (mi^2),"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Iowa,Muscatine,1199,56,95.00100203,14.25,50.1,41.8,9.9,24.3,"42,664",449.09,48.3,51.9,40.4,43.1
Iowa,O'Brien,489,9,23.98918542,11.81,52.45,35.6,9,23.4,"13,753",573.3,49.6,55.3,35.4,35.8
Iowa,Osceola,199,0,14.91289547,12.39,51.7,37.2,9.3,24.2,"5,958",399.52,52.3,51.1,37.3,37.1
Iowa,Page,263,0,28.21734095,13.25,54.1,37.9,8.6,20.8,"15,107",535.38,56.4,51.8,38.4,37.3
Iowa,Palo Alto,248,0,15.60453069,12.1,53.15,38.2,10.3,24.5,"8,886",569.45,53.6,52.7,39,37.4
Iowa,Plymouth,1335,24,29.13937177,11.84,51.4,37.3,11.7,27.5,"25,177",864.02,49.8,53,38.4,36.2
Iowa,Pocahontas,189,2,11.42842343,12.29,55.95,35.2,12,27.5,"6,619",579.17,56.5,55.4,35.5,34.9
Iowa,Polk,16828,272,828.058587,12.58,52.9,35.7,10,24,"490,161",591.94,52.9,52.9,35.9,35.4
Iowa,Pottawattamie,2489,43,97.08857199,13.57,51.6,38.1,11.1,25,"93,206",960.01,53,50.2,38.8,37.4
Iowa,Poweshiek,372,10,31.56494149,12.12,55.65,36.7,11.5,26.1,"18,504",586.22,56.5,54.8,37,36.3
Iowa,Ringgold,64,2,9.080451239,13.01,54.35,35.1,9.1,22,"4,894",538.96,56.3,52.4,36,34.2
Iowa,Sac,318,1,16.80612704,12.17,54.25,36,10.8,24.9,"9,721",578.42,55.6,52.9,36.7,35.2
Iowa,Scott,3450,29,369.3784707,12.36,55.75,35.6,12.4,27.1,"172,943",468.2,57.2,54.3,36.4,34.7
Iowa,Shelby,300,1,19.3676023,12.2,51.85,37.5,11.6,26.3,"11,454",591.4,54.2,49.5,38.9,36
Iowa,Sioux IA,2000,7,45.34573603,11.56,49.05,35.5,7.8,20.8,"34,855",768.65,49.4,48.7,36.1,34.8
Iowa,Story,3656,17,169.273003,11.51,56.7,34.5,9.8,22.4,"97,117",573.73,56.6,56.8,34.7,34.3
Iowa,Tama,829,34,23.32991888,13.61,50.75,37.9,10.9,25.6,"16,854",722.42,52.4,49.1,38.1,37.7
Iowa,Taylor,190,1,11.44433019,13.35,53.5,35.1,9.8,22,"6,121",534.85,54.8,52.2,35.3,34.8
Iowa,Union,174,3,28.7360909,12.99,53.6,35.2,10.5,24.9,"12,241",425.98,55.8,51.4,36.8,33.6
Iowa,Van Buren,134,1,14.35822173,13.43,54.8,37.2,10.7,24,"7,044",490.59,54.2,55.4,37.6,36.7
Iowa,Wapello,1405,58,80.20044952,14.08,49.3,36.9,9.4,22.5,"34,969",436.02,46.9,51.7,36.1,37.6
Iowa,Warren,1023,6,89.78089456,12.34,51.9,38.9,10.8,24.7,"51,466",573.24,53.4,50.4,39.5,38.2
Iowa,Washington,543,11,38.48040504,12.58,53.2,37.8,9.9,22.8,"21,965",570.81,54.4,52,37.5,38
Iowa,Wayne,98,3,12.21922902,13.48,54,36.8,9.8,22,"6,441",527.12,54,54,36.1,37.4
Iowa,Webster,1539,14,49.99860744,13.05,52.25,37.4,10.9,26.5,"35,904",718.1,53.7,50.8,38,36.8
Iowa,Winnebago,359,15,25.7825145,11.83,54.8,34.9,8.8,25,"10,354",401.59,57,52.6,36.1,33.7
Iowa,Winneshiek,370,9,28.9754033,11,56.25,33.8,12.5,31.9,"19,991",689.93,59.3,53.2,35.1,32.5
Iowa,Woodbury,6206,76,117.5102287,13.68,48.05,37.9,9.5,23.1,"103,107",877.43,49.5,46.6,37.5,38.3
Iowa,Worth,117,0,18.37303662,12.12,55.2,37.5,9.1,24.7,"7,381",401.73,56.8,53.6,39.5,35.4
Iowa,Wright IA,637,1,21.56270383,12.56,53.05,37.6,10.7,28,"12,562",582.58,54.7,51.4,37.2,38
Kansas,Allen KS,97,1,24.48143457,14.23,52.3,40.8,7.5,17.4,"12,369",505.24,53.5,51.1,39.1,42.4
Kansas,Anderson,87,0,13.44742021,13.67,50.1,39.7,7.8,17.6,"7,858",584.35,52.7,47.5,38.5,40.8
Kansas,Atchison,366,4,36.94432952,14.3,49.45,40.7,8.1,20.1,"16,073",435.06,53.5,45.4,39.5,41.8
Kansas,Barber,14,0,3.896081037,13.27,55.6,36.7,8,17.4,"4,427",1136.27,57.2,54,36.7,36.6
Kansas,Barton,567,7,28.62742921,13.85,50.05,39.8,7.8,18.2,"25,779",900.5,48.8,51.3,38.5,41.1
Kansas,Bourbon,212,3,22.74918608,13.77,51.6,40.4,7.3,17.3,"14,534",638.88,53.2,50,38.1,42.7
Kansas,Brown,161,5,16.71355923,13.79,53.7,37.1,9.4,21.8,"9,564",572.23,55.5,51.9,35.9,38.3
Kansas,Butler,1064,4,46.25749227,13.25,50.35,38.1,6.9,16.5,"66,911",1446.49,52.6,48.1,38.3,37.8
Kansas,Chase,87,1,3.403336504,13.34,53.4,38,7.5,15.4,"2,648",778.06,55.5,51.3,38.9,37
Kansas,Chautauqua,24,0,5.039775459,14.93,50.25,39,7,15,"3,250",644.87,52.6,47.9,37.5,40.4
Kansas,Cherokee,559,8,33.73659098,14.91,49.25,41.5,7.9,17.9,"19,939",591.02,51.2,47.3,41.1,41.8
Kansas,Cheyenne,78,2,2.602631038,11.64,54.2,34.4,8.2,19.1,"2,657",1020.89,54.1,54.3,35.1,33.7
Kansas,Clark,56,1,2.040377787,12.18,57.35,36,6.9,15.4,"1,994",977.27,57.5,57.2,36.2,35.8
Kansas,Clay,62,2,12.20822018,12.12,54.65,35.8,7.4,19.6,"8,002",655.46,56.5,52.8,35.6,36
Kansas,Cloud,76,1,12.22808312,12.95,53.7,37,8.5,20,"8,786",718.51,54.3,53.1,37.4,36.6
Kansas,Coffey,132,9,12.49408063,13.07,55.3,36.9,7.5,18.5,"8,179",654.63,57.7,52.9,36.9,36.9
Kansas,Comanche,16,0,2.15257993,12.49,54.75,37.1,7.5,19.1,"1,700",789.75,56.1,53.4,37.2,37
Kansas,Cowley,426,8,30.81921478,15.33,49.4,40,6.7,14.2,"34,908",1132.67,51.3,47.5,38.7,41.3
Kansas,Crawford,1191,8,65.22827713,14.59,48.3,39.9,7.5,17.7,"38,818",595.11,47.3,49.3,39.5,40.2
Kansas,Decatur,31,1,3.161379064,11.81,56.65,34.4,8.2,20.2,"2,827",894.23,56.6,56.7,35,33.7
Kansas,Dickinson,239,2,21.65693242,13.2,49.1,38.3,7.4,18.2,"18,466",852.66,47.3,50.9,37.3,39.2
Kansas,Doniphan,123,0,19.13875598,13.48,52.65,39.3,8.8,20.9,"7,600",397.1,54.8,50.5,38.8,39.7
Kansas,Douglas,2524,14,257.658588,12.42,57.6,32.2,8.9,21.3,"122,259",474.5,60.4,54.8,31.8,32.6
Kansas,Edwards,55,0,4.497452301,13.53,52.55,37.5,9.3,20.2,"2,798",622.13,52.9,52.2,37.9,37.1
Kansas,Elk,11,0,3.889854092,14.17,53.45,38,7.2,16.2,"2,530",650.41,56.7,50.2,38.2,37.8
Kansas,Ellis,1141,9,31.70723582,11.91,53.7,35,10.2,22.7,"28,553",900.52,53,54.4,35.8,34.1
Kansas,Ellsworth,76,0,8.434351113,13.02,56.55,37,7.7,17.1,"6,102",723.47,56.4,56.7,36.7,37.2
Kansas,Finney,2363,12,27.99361322,15.82,47.25,39.2,7.2,16.6,"36,467",1302.69,47.2,47.3,38.7,39.7
Kansas,Ford,3034,10,30.58079774,16.13,44.1,41.4,7,16.8,"33,619",1099.35,44.3,43.9,39.2,43.6
Kansas,Franklin,435,3,44.29339345,13.56,50.7,38.9,7.5,19.3,"25,544",576.7,53.1,48.3,38.3,39.5
Kansas,Geary,463,3,78.40079218,15.77,53.35,36.9,7.7,16.3,"31,670",403.95,55.2,51.5,35.2,38.6
Kansas,Gove,53,0,2.459987868,11.32,57.15,33.8,9.5,20.2,"2,636",1071.55,57.4,56.9,34.4,33.1
Kansas,Graham,44,1,2.761705537,12.14,55.2,35.1,10.6,22.4,"2,482",898.72,55.9,54.5,34.7,35.5
Kansas,Grant,343,7,12.43262041,14.69,54.55,37.8,7.2,16.7,"7,150",575.1,55.2,53.9,37.5,38
Kansas,Gray,137,0,6.887587849,13.25,46.95,41.1,6.8,15.7,"5,988",869.39,46.5,47.4,41,41.2
Kansas,Greeley,19,0,1.583445794,11.58,55.95,35.5,8.4,20.2,"1,232",778.05,56.4,55.5,35.1,35.8
Kansas,Greenwood,56,0,5.189735048,14.2,54.65,36.5,7.2,16.8,"5,982",1152.66,57.1,52.2,36.9,36
Kansas,Hamilton,48,0,2.544955195,13.43,51.55,35.7,8.3,18.6,"2,539",997.66,51.9,51.2,34.8,36.6
Kansas,Harper,120,2,6.769613948,13.61,51.5,38.4,8.3,17.9,"5,436",803,52.5,50.5,37.6,39.2
Kansas,Harvey,398,8,63.69371369,13.25,48.35,38,6.1,15.7,"34,429",540.54,49.8,46.9,37.7,38.3
Kansas,Haskell,140,1,6.868022501,13.95,46.7,40.3,7,15.3,"3,968",577.75,46.8,46.6,39.5,41.1
Kansas,Hodgeman,30,0,2.085343314,12.27,56.6,36.8,7.6,17.2,"1,794",860.29,56.8,56.4,37.2,36.4
Kansas,Jackson,266,3,20.01975984,13.39,55.2,37.4,8.2,19,"13,171",657.9,58.2,52.2,36.2,38.6
Kansas,Jefferson,221,4,34.18973751,12.68,55.05,37.8,9,20.7,"19,043",556.98,55.9,54.2,37.6,37.9
Kansas,Jewell,17,1,3.148133973,12.54,56.05,35.5,8.2,19.5,"2,879",914.51,56.5,55.6,36,34.9
Kansas,Johnson,12329,161,1254.531634,10.88,57.15,29.9,8.1,19.6,"602,401",480.18,58.8,55.5,30.7,29
Kansas,Kearny,103,1,4.403547621,13.42,49.95,38.3,7.6,17.2,"3,838",871.57,49.9,50,37.4,39.1
Kansas,Kingman,105,1,8.251514277,13.76,51.65,38.8,7.5,17.3,"7,152",866.75,54.2,49.1,38.3,39.2
Kansas,Kiowa,29,0,3.424799701,13,57.3,35.5,7.2,16.7,"2,475",722.67,58.2,56.4,35.8,35.2
Kansas,Labette,264,5,30.02632546,14.23,47.3,39.9,6.4,15.9,"19,618",653.36,47.8,46.8,37.9,41.9
Kansas,Lane,16,0,2.139432458,12.06,54.95,37,8.8,21.3,"1,535",717.48,55.3,54.6,37.9,36.1
Kansas,Leavenworth,2349,15,174.5623025,13.92,51.1,38.1,8.4,18.8,"81,758",468.36,53.4,48.8,36.7,39.5
Kansas,Lincoln KS,15,0,4.114060308,12.91,55.3,36.5,7.1,15.5,"2,962",719.97,55.2,55.4,35.6,37.4
Kansas,Linn,90,0,16.0023089,13.77,50.95,39.1,7.5,17.8,"9,703",606.35,53.9,48,37.7,40.5
Kansas,Logan,41,0,2.603501775,11.88,55.55,33.7,7.5,16.7,"2,794",1073.17,56,55.1,34.8,32.6
Kansas,Lyon,1126,36,38.81502789,15.25,48.85,38.8,7.4,17.5,"33,195",855.21,47.6,50.1,39,38.5
Kansas,Marion KS,113,1,31.66794262,12.38,52.25,38.7,6.3,14.9,"28,542",901.29,54.6,49.9,38.9,38.4
Kansas,Marshall,43,0,12.46237901,13.08,54.2,36.1,9.3,21.3,"11,884",953.59,54.7,53.7,37.3,34.9
Kansas,McPherson,289,1,10.73296403,12.95,51.9,38.2,6.2,16.2,"9,707",904.41,49.5,54.3,38.8,37.5
Kansas,Meade,149,1,4.11648226,12.89,53.65,36.9,7.4,17.5,"4,033",979.72,53.3,54,37,36.8
Kansas,Miami KS,444,1,58.00914944,12.83,55.4,38,8,19.3,"34,237",590.2,60.7,50.1,37,38.9
Kansas,Mitchell,48,0,8.319766228,11.98,55.2,36.6,8.5,18.9,"5,979",718.65,55.4,55,36.6,36.5
Kansas,Montgomery,516,6,48.85869982,15.75,51.05,38.7,7.3,15.7,"31,829",651.45,54.5,47.6,38.1,39.2
Kansas,Morris,45,0,7.995447432,13.06,54.4,36.3,7.9,18.8,"5,620",702.9,57.2,51.6,36.9,35.6
Kansas,Morton,22,2,3.543884163,13.41,54.25,34.3,7.6,16.9,"2,587",729.99,56.2,52.3,34.3,34.3
Kansas,Nemaha,169,1,14.2209805,12.79,57.05,34.5,9.9,21.6,"10,231",719.43,57.3,56.8,35,33.9
Kansas,Neosho,183,0,27.68946012,14.02,47.7,39.2,7.4,17.6,"16,007",578.09,47.7,47.7,39.3,39.1
Kansas,Ness,101,7,2.557972969,12.43,57.4,35.7,9.6,21.1,"2,750",1075.07,57.4,57.4,36.7,34.7
Kansas,Norton,60,0,6.082230946,12.58,53.95,35.7,8.6,19.3,"5,361",881.42,55.2,52.7,35.8,35.6
Kansas,Osage,119,0,22.17325418,13.32,50.95,39.7,7.3,18.2,"15,949",719.29,53.2,48.7,38.5,40.9
Kansas,Osborne,14,0,3.825295479,12.54,53.7,35.7,7.7,16.7,"3,421",894.31,54.1,53.3,35.8,35.6
Kansas,Ottawa,78,0,7.900933596,12.37,53.4,37,8,18.8,"5,704",721.94,53.6,53.2,36.3,37.6
Kansas,Pawnee,399,1,8.499867479,12.81,56.3,36.9,8.3,19.1,"6,414",754.6,57,55.6,37.1,36.6
Kansas,Phillips,139,8,5.84909034,12.17,55.1,35.5,7.8,19.2,"5,234",894.84,56.4,53.8,36,34.9
Kansas,Pottawatomie,308,0,28.28260567,12.79,54.25,36.6,8,19.1,"24,383",862.12,54,54.5,37.3,35.8
Kansas,Pratt,83,0,12.45464059,12.81,53.4,36.7,7.4,18.1,"9,164",735.79,55.9,50.9,37.6,35.7
Kansas,Rawlins,95,0,2.36495013,11.76,56.9,35.7,10.7,24,"2,530",1069.79,56.5,57.3,36.5,34.8
Kansas,Reno,1301,6,48.76625266,13.78,52.85,37.9,6.7,16.1,"61,998",1271.33,53.2,52.5,36.7,39.1
Kansas,Republic,50,1,6.435671053,11.94,58,34,9.1,20.9,"4,636",720.36,58.6,57.4,34.5,33.5
Kansas,Rice,92,1,13.0943391,13.52,56.5,36.7,6.8,16.5,"9,537",728.33,56.6,56.4,36.1,37.2
Kansas,Riley,1937,9,119.3152777,12.74,57.6,32.6,8,18.5,"74,232",622.15,59.7,55.5,32,33.1
Kansas,Rooks,118,7,5.494750949,12.13,55.35,35,9.7,21.4,"4,920",895.4,56.3,54.4,35.4,34.5
Kansas,Rush,76,0,4.225763797,12.82,53.55,37.1,9.4,22.3,"3,036",718.45,53.7,53.4,37.4,36.7
Kansas,Russell,129,1,7.625996908,12.81,54.9,36.7,8.3,20,"6,856",899.03,55.8,54,36.6,36.7
Kansas,Saline,859,12,75.17329341,13.49,52.75,39.4,6.8,17.3,"54,224",721.32,53.8,51.7,37.1,41.6
Kansas,Scott,141,1,6.720078027,12.54,55,37.5,6.8,17,"4,823",717.7,56.5,53.5,37.8,37.1
Kansas,Sedgwick,9599,94,511.1958632,14.71,49,37,6.7,15.9,"516,042",1009.48,50.1,47.9,34.9,39
Kansas,Seward,1805,7,33.45250176,17.24,42.15,40.4,7,16.4,"21,428",640.55,41.7,42.6,38.6,42.2
Kansas,Shawnee,2975,60,317.9203739,13.78,53.25,38.9,7.1,18,"176,875",556.35,56.5,50,38.1,39.6
Kansas,Sheridan,50,0,2.811545067,12.18,57.3,34.5,9.1,19.9,"2,521",896.66,57.8,56.8,34.9,34.1
Kansas,Sherman,58,0,5.602795243,12.75,53.8,36.5,8.9,21.4,"5,917",1056.08,54.1,53.5,37.4,35.5
Kansas,Smith,12,0,3.996386187,11.85,53.6,34.9,7.3,17.2,"3,583",896.56,54.7,52.5,35.2,34.5
Kansas,Stafford,65,1,5.229185802,13.46,53.6,37.7,6.9,16.1,"4,156",794.77,54.4,52.8,37.6,37.7
Kansas,Stanton,71,2,2.949479504,13.96,47.45,39.7,7.2,17.3,"2,006",680.12,48,46.9,38.9,40.5
Kansas,Stevens,180,1,7.536618209,13.83,53.2,36.5,6.7,16.3,"5,485",727.78,55.1,51.3,36.3,36.7
Kansas,Sumner,221,3,19.27316307,14.45,50.3,40.6,7.9,17.9,"22,836",1184.86,52.4,48.2,39.6,41.5
Kansas,Thomas,190,0,7.234620501,11.72,55.8,35.5,9.3,21.4,"7,777",1074.97,56.3,55.3,37.4,33.6
Kansas,Trego,58,3,3.117596681,11.52,55,36,9.9,20.6,"2,803",899.09,54.9,55.1,36.2,35.8
Kansas,Wabaunsee,72,1,8.665266422,12.9,55.5,36.3,8,18.4,"6,931",799.86,58.9,52.1,37.2,35.4
Kansas,Wallace,20,0,1.660613486,12.12,54.55,36.8,7.9,18.5,"1,518",914.12,55.4,53.7,36.9,36.7
Kansas,Washington KS,25,0,6.014150943,12.58,53.15,36.3,9.5,22.5,"5,406",898.88,53.9,52.4,36.6,35.9
Kansas,Wichita KS,7,0,2.948830348,13.17,51.75,36.7,7.8,17.5,"2,119",718.59,52.4,51.1,35.8,37.6
Kansas,Wilson,76,2,14.82505565,14.22,48.1,39.1,6.8,16.5,"8,525",575.04,50.7,45.5,39.4,38.7
Kansas,Woodson,24,0,6.207715134,14.16,53.35,36.9,7.8,16.4,"3,138",505.5,55.5,51.2,36.3,37.4
Kansas,Wyandotte KS,7477,134,1062.485549,18.65,40.8,45.6,7.4,17.9,"165,429",155.7,43.8,37.8,41.1,50.1
Kentucky,Adair KY,378,19,46.57853244,15.69,42,42.1,6.1,11.4,"19,202",412.25,43.3,40.7,40.7,43.4
Kentucky,Allen KY,424,10,60.54365733,15.01,43.85,40.2,5.4,11.3,"21,315",352.06,46.8,40.9,38.2,42.2
Kentucky,Anderson KY,190,1,111.341165,13.94,49.85,37.5,7,14.8,"22,747",204.3,54.8,44.9,39.2,35.7
Kentucky,Ballard,60,1,28.82830202,14.41,48.6,38.2,4.1,9.4,"7,888",273.62,50.8,46.4,38.2,38.1
Kentucky,Barren,848,13,88.50685069,14.56,46.6,37,4.7,10.6,"44,249",499.95,51.1,42.1,34.7,39.3
Kentucky,Bath,94,1,44.02028455,17.38,41.5,42.5,5.5,10.3,"12,500",283.96,44.5,38.5,41.4,43.5
Kentucky,Bell,541,16,72.03896391,17.63,42.15,42.4,3.3,9.2,"26,032",361.36,46.3,38,41.3,43.5
Kentucky,Boone,1714,25,519.8108802,14.11,53.6,35.2,9.6,19.3,"133,581",256.98,55.6,51.6,35.8,34.6
Kentucky,Bourbon,238,1,67.8414701,16.28,48.55,40.4,7.1,14.5,"19,788",291.68,52.6,44.5,39,41.8
Kentucky,Boyd,525,12,288.6856578,15.84,46.15,39.2,6,13.5,"46,718",161.83,48.4,43.9,38.4,40
Kentucky,Boyle,326,0,164.5230146,14.06,50.9,35.6,5.6,13.3,"30,060",182.71,52.1,49.7,36.7,34.5
Kentucky,Bracken,42,0,39.74438754,15.92,44.85,40.7,9.1,17.6,"8,303",208.91,46.9,42.8,40.3,41
Kentucky,Breathitt,100,0,25.49866753,17.93,37.2,47.3,5.4,11.2,"12,630",495.32,36.6,37.8,44.2,50.3
Kentucky,Breckinridge,150,2,34.97054052,15.58,42.7,39.3,6.6,13.1,"20,477",585.55,43.1,42.3,38.1,40.5
Kentucky,Bullitt,1011,12,272.0628893,14.74,44.9,40.2,7.5,15.1,"81,676",300.21,47.7,42.1,40.6,39.8
Kentucky,Butler,380,16,29.84427863,15.76,42.3,41.7,3.8,8.7,"12,879",431.54,44.9,39.7,40.9,42.5
Kentucky,Caldwell,186,0,36.60827111,14.52,49.75,39.9,4,9.2,"12,747",348.2,53.7,45.8,39.6,40.2
Kentucky,Calloway,712,9,94.93683211,13.8,53.15,35,5.6,11.7,"39,001",410.81,57.9,48.4,35.4,34.6
Kentucky,Campbell KY,948,19,586.9543402,14.75,53.65,36.4,12.5,27.3,"93,584",159.44,54.7,52.6,36.6,36.2
Kentucky,Carlisle KY,86,1,23.91599256,14.32,49.1,38.1,4.9,10.3,"4,760",199.03,50.7,47.5,38.4,37.8
Kentucky,Carroll KY,203,5,77.44026807,16.02,44.1,41.6,6.5,14.5,"10,631",137.28,46.2,42,40,43.2
Kentucky,Carter KY,244,3,65.01443579,17.47,41.2,41.7,4.9,11.6,"26,797",412.17,45.2,37.2,42.5,40.8
Kentucky,Casey,283,16,36.25126192,16.09,36.5,43.7,5.9,11,"16,159",445.75,34.8,38.2,42.4,45
Kentucky,Christian KY,1525,26,97.31510255,16.63,47.45,40.6,5.6,12.5,"70,461",724.05,50.9,44,40.1,41
Kentucky,Clark KY,378,10,142.1075319,15.46,46.8,38,6.1,13.1,"36,263",255.18,48.7,44.9,38.4,37.6
Kentucky,Clay KY,355,6,42.24458171,19.1,35.35,45.5,3.9,9.3,"19,901",471.09,35.8,34.9,43,47.9
Kentucky,Clinton KY,156,2,49.71053272,16.12,34.9,44.4,5.7,11.1,"10,218",205.55,36.1,33.7,42.1,46.7
Kentucky,Crittenden,128,1,23.73776855,14.73,44.5,42.2,4.3,9.7,"8,806",370.97,46.1,42.9,42,42.4
Kentucky,Cumberland,114,0,21.27577444,16.19,41.5,41.8,6.2,11.8,"6,614",310.87,42.5,40.5,40.1,43.5
Kentucky,Daviess,1640,19,213.1240815,13.92,52.65,36.2,8,16.6,"101,511",476.3,55.7,49.6,37.5,34.9
Kentucky,Edmonson,166,12,39.44420998,14.95,44.9,39.1,5.7,11.3,"12,150",308.03,46.7,43.1,38.5,39.6
Kentucky,Elliott,48,0,31.95731655,18.92,42.8,41.6,6,12.2,"7,517",235.22,43.1,42.5,40.3,42.8
Kentucky,Estill,205,0,55.16189582,17.24,41.55,41.5,4.9,10.7,"14,106",255.72,44.2,38.9,39.8,43.1
Kentucky,Fayette KY,9076,80,1131.761986,14.27,52.5,32.5,9.6,18.9,"323,152",285.53,53.6,51.4,30.8,34.2
Kentucky,Fleming KY,92,0,41.48339924,16.13,44.1,41.3,6.5,12.9,"14,581",351.49,45.5,42.7,41.5,41
Kentucky,Floyd KY,215,4,89.9871046,18.04,38.6,45.6,4.6,10.6,"35,589",395.49,40.8,36.4,44.8,46.3
Kentucky,Franklin KY,749,12,240.3761844,14.87,51.05,39.1,8,16.1,"50,991",212.13,52.3,49.8,37.2,41
Kentucky,Fulton,180,3,25.88913949,16.94,43.45,43.8,6.3,14.1,"5,969",230.56,46.4,40.5,41.3,46.3
Kentucky,Gallatin,101,8,84.72487581,15.79,42.3,41.5,6.3,13.3,"8,869",104.68,44.6,40,40.6,42.4
Kentucky,Garrard,196,3,75.53123263,15.06,46.55,40.4,5.2,11,"17,666",233.89,47.9,45.2,40.9,39.8
Kentucky,Grant KY,195,6,96.14189837,15.34,49.65,39.6,5,10.7,"25,069",260.75,53.2,46.1,39.2,40
Kentucky,Graves,805,29,66.96495957,14.4,46.25,39.1,4.4,10.8,"37,266",556.5,47.6,44.9,38.7,39.4
Kentucky,Grayson,419,14,51.73041538,15.32,39.85,41.2,5.4,12.1,"26,427",510.86,41.2,38.5,40.1,42.2
Kentucky,Green,294,9,37.88434903,15.64,45.05,40.2,4,9.1,"10,941",288.8,45.4,44.7,38.4,42
Kentucky,Greenup,481,5,98.9986743,16.84,45.15,42.8,5.1,12,"35,098",354.53,47.8,42.5,43.3,42.3
Kentucky,Hancock,101,0,43.84456844,14.4,50.75,35.9,4.8,10.6,"8,722",198.93,53.1,48.4,36.2,35.5
Kentucky,Hardin,1469,13,176.1545667,15.21,49.35,36,5.5,12.4,"110,958",629.89,50.9,47.8,35,36.9
Kentucky,Harlan,507,12,55.57929826,17.64,38.4,43,4.1,10.8,"26,010",467.98,39.3,37.5,43.4,42.6
Kentucky,Harrison KY,203,0,60.94420601,15.79,49.05,39.7,7.8,14.6,"18,886",309.89,51.4,46.7,38,41.4
Kentucky,Hart KY,217,1,45.54590482,16.42,38.85,43,4.9,10.4,"19,035",417.93,38.9,38.8,41.4,44.5
Kentucky,Henderson,1005,11,96.75555365,14.91,46.1,39.3,7,14.4,"45,210",467.26,49.4,42.8,38.7,39.9
Kentucky,Henry,209,2,55.39106241,15.25,48.3,40.1,6.8,13,"16,126",291.13,50.4,46.2,38.6,41.5
Kentucky,Hickman,87,1,17.31567503,15.63,43.9,41.3,3.7,9.1,"4,380",252.95,46.4,41.4,40,42.5
Kentucky,Hopkins,782,40,80.62426703,14.43,46.1,39.9,6.1,12.2,"44,686",554.25,46,46.2,38.3,41.5
Kentucky,Jackson,393,17,38.4575435,17.55,37.35,45.1,4.1,10,"13,329",346.59,40.2,34.5,42.1,48
Kentucky,Jefferson,18928,335,1923.625188,14.65,51.5,37.1,9.1,18.6,"766,757",398.6,53.6,49.4,34.6,39.5
Kentucky,Jessamine,702,0,310.1679372,13.99,46.7,35.6,7.1,13.5,"54,115",174.47,47.3,46.1,36.3,34.8
Kentucky,Johnson,180,2,84.05819063,17.29,40.8,45.3,5,11.3,"22,188",263.96,41.7,39.9,43.5,47
Kentucky,Kenton,2179,49,1012.293144,14.22,52.05,37.4,13.1,24.4,"166,998",164.97,54.7,49.4,38.4,36.3
Kentucky,Knott,248,1,41.93977849,18.62,37.7,46.4,4.4,10.7,"14,806",353.03,39.2,36.2,45,47.7
Kentucky,Knox KY,572,9,80.32858764,17.91,38.9,42.4,3.8,9.7,"31,145",387.72,37.5,40.3,40.2,44.6
Kentucky,Larue KY,190,1,54.59164329,15.27,44.4,38.7,5.1,11,"14,398",263.74,46.1,42.7,37.1,40.2
Kentucky,Laurel KY,1094,6,137.037204,16.05,43.55,40.1,4.2,10.5,"60,813",443.77,44.8,42.3,38.6,41.5
Kentucky,Lawrence KY,77,0,36.45515994,17.83,43.1,43.7,4.9,11.3,"15,317",420.16,44.2,42,41.9,45.4
Kentucky,Lee,18,0,35.04710505,19.13,39.5,44.7,5,10.1,"7,403",211.23,40.4,38.6,41.6,47.7
Kentucky,Leslie,101,0,24.42564978,17.89,34.7,44.9,4.2,10.2,"9,877",404.37,36.6,32.8,45,44.7
Kentucky,Letcher,229,2,63.55379943,17.58,39.4,44.4,4.3,10.3,"21,553",339.13,41.5,37.3,44.5,44.3
Kentucky,Lewis,240,15,26.77869001,17.78,39.1,45.9,5.5,12.5,"13,275",495.73,38.2,40,46.1,45.6
Kentucky,Lincoln,244,16,72.89544793,16.07,44,42.9,4.3,9.8,"24,549",336.77,43.8,44.2,41.7,44.1
Kentucky,Livingston,97,1,26.86575887,13.91,46.6,39.7,5.4,10.7,"9,194",342.22,48.2,45,39.8,39.6
Kentucky,Logan,630,30,48.64573798,15.41,43.55,39.9,4.8,11.3,"27,102",557.13,46.1,41,39.3,40.4
Kentucky,Lyon,83,4,32.01154131,14.24,49.9,38.9,5.4,10.9,"8,210",256.47,51.3,48.5,39.1,38.7
Kentucky,Madison,1967,7,244.0059679,13.36,49.35,37.2,6.8,14.4,"65,418",268.1,51.5,47.2,37.2,37.1
Kentucky,Magoffin,106,0,40.00975225,18.8,37,44.9,4,10.1,"17,231",430.67,37,37,42.9,46.8
Kentucky,Marion KY,259,10,35.93817089,14.74,47.4,37.5,10,19.7,"9,207",256.19,51.2,43.6,37.1,37.9
Kentucky,Marshall,361,4,209.8366205,15.5,54.1,36.7,5.9,11.8,"92,987",443.14,57.3,50.9,37.7,35.6
Kentucky,Martin,95,3,39.29748594,18.86,36.35,46.8,4.4,9.8,"12,161",309.46,38.3,34.4,43.1,50.4
Kentucky,Mason,135,2,55.55939923,15.47,44.25,39,9.3,18.7,"19,273",346.89,45.1,43.4,39.4,38.5
