county,cases,deaths,Population Density (people/mi^2),Diabetes Prevalence 2012 Both Sexes (%),Overall sufficient physical activity  prevalence 2011* (%),Overall obesity prevalence 2011* (%),Heavy Alcohol Consumption (%) 2012 (Heavy- past 30 days 1drink/day for women 2 for men),Binge Alcohol Consumption (%) 2012  (Binge- past 30 days >4 drinks one occasion >5 for men),,LandArea (mi^2),Population,"Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Male obesity  prevalence, 2011* (%)","Female obesity prevalence, 2011* (%)"
Pulaski GA,319,22,44.57117701,17.83,42.7,44.3,8.0,16.6,,249.87,"11,137",48.2,37.2,41.4,47.2
Putnam GA,734,24,61.32922975,15.78,52.6,39.5,6.1,14.1,,360.66,"22,119",53.8,51.4,37.2,41.7
Quitman GA,34,1,14.28571429,19.83,36.8,49.9,5.1,11.8,,160.93,"2,299",40.7,32.9,45.3,54.4
Rabun GA,384,11,45.45502772,13.86,55.25,36.0,7.2,14.5,,377.01,"17,137",58.9,51.6,35.0,36.9
Randolph GA,333,29,15.72913766,21.27,39.95,49.5,5.0,11.6,,430.92,"6,778",43.6,36.3,43.9,55.0
Richmond GA,7370,171,616.4931507,17.88,49.2,40.4,7.4,15.9,,328.5,"202,518",55.4,43.0,36.6,44.1
Rockdale, GA1912,39,687.9285552,16.65,52.3,35.8,5.9,14.2,,132.13,"90,896",54.9,49.7,33.5,38.0
Schley,107,2,31.32336293,16.87,40.45,44.4,7.4,15.4,,167.83,"5,257",42.0,38.9,41.7,47.1
Screven GA,429,11,21.30067413,18.38,42.35,46.7,7.1,14.9,,655.66,"13,966",46.8,37.9,42.9,50.4
Seminolev,368,9,31.53012706,16.69,48.15,41.7,8.5,15.6,,256.58,"8,090",50.2,46.1,38.5,44.9
Spalding GA,1387,61,334.1666249,17.51,43.2,43.5,6.4,13.8,,199.61,"66,703",48.0,38.4,40.0,46.9
Stephens GA,1159,39,140.7132002,15.05,49.85,40.6,5.4,12.0,,184.24,"25,925",49.9,49.8,37.8,43.4
Stewart GA,523,16,14.29219013,23.77,42,47.0,5.0,12.0,,463.26,"6,621",48.9,35.1,38.6,55.3
Sumter GA,943,64,59.93747209,19.54,45.6,42.9,6.2,13.3,,492.58,"29,524",47.3,43.9,37.8,48.0
Talbot GA,166,6,15.69268181,20.48,43.9,46.5,6.5,13.2,,394.77,"6,195",47.8,40.0,41.9,51.1
Taliaferro GA,24,0,7.862696951,22.18,33.85,50.6,4.5,10.6,,195.48,"1,537",36.4,31.3,45.2,55.9
Tattnall GA,863,11,51.78692117,17.93,43.45,44.9,5.8,13.2,,488.27,"25,286",44.8,42.1,39.9,49.8
Taylor GA,217,11,21.12472014,19.15,40.55,45.2,5.7,12.3,,379.65,"8,020",42.5,38.6,42.0,48.4
Telfair GA,401,21,35.71106908,20.78,42.2,43.4,6.0,13.6,,444.12,"15,860",45.7,38.7,39.8,47.0
Terrell GA,333,32,25.26580779,20.88,36.25,50.9,5.4,12.0,,337.65,"8,531",38.5,34.0,44.3,57.4
Thomas GA,1529,66,80.50821365,17.09,52.35,39.6,7.4,14.5,,552.13,"44,451",51.3,53.4,34.6,44.5
Tift GA,1844,58,151.1603689,17.99,48.15,41.3,5.7,12.8,,268.88,"40,644",54.8,41.5,37.1,45.4
Toombs GA,1389,52,72.77511053,17.39,50.35,42.0,5.6,12.5,,368.67,"26,830",53.4,47.3,38.4,45.5
Towns GA,375,10,70.03549194,13.56,53.65,35.5,5.9,12.5,,171.87,"12,037",55.3,52.0,35.6,35.4
Treutlen GA,272,11,34.12619919,18.55,43.05,45.9,5.1,12.7,,202.22,"6,901",45.6,40.5,42.7,49.0
Troup GA,2882,102,156.7793,17.05,48.8,39.9,6.7,15.0,,445.99,"69,922",53.0,44.6,38.3,41.4
Turner GA,320,24,27.54683134,19.53,39.55,47.3,5.7,12.5,,289.87,"7,985",42.9,36.2,42.1,52.4
Twiggs GA,202,9,22.37407693,19.41,36.2,48.0,5.3,12.3,,362.92,"8,120",39.8,32.6,43.7,52.3
Union GA,835,21,74.4585194,13.39,53.15,33.7,5.8,12.1,,329.19,"24,511",53.7,52.6,33.4,33.9
Upson GA,814,63,80.32471694,16.77,44.85,43.5,5.3,12.4,,327.67,"26,320",48.4,41.3,41.1,45.9
Walker GA,1655,39,156.1557058,16.52,45.05,40.9,5.1,12.8,,446.74,"69,761",48.4,41.7,40.5,41.2
Walton GA,1919,60,286.5846639,14.86,49.8,37.6,6.3,14.0,,330.07,"94,593",50.7,48.9,36.8,38.3
Ware GA,1536,61,39.41452869,17.34,46.3,41.3,6.1,12.8,,906.62,"35,734",48.2,44.4,38.0,44.6
Warren GA,160,5,18.32194169,21.26,40.8,47.8,4.1,10.4,,286.76,"5,254",45.0,36.6,42.5,53.0
Washington GA,704,9,29.76783601,19.62,45.8,45.5,5.9,13.3,,684.43,"20,374",50.4,41.2,40.8,50.2
Wayne GA,1170,30,46.12314094,16.59,48.05,41.8,5.9,12.9,,648.85,"29,927",48.3,47.8,40.6,42.9
Webster GA,44,2,12.39834499,19.51,48.1,43.5,5.6,11.9,,210.27,"2,607",50.5,45.7,39.4,47.5
Wheeler GA,349,13,26.16937633,20.53,43.5,45.6,5.7,11.5,,300.16,"7,855",45.8,41.2,41.7,49.5
White GA,930,20,127.1698736,13.67,53.15,34.9,7.3,15.0,,242.18,"30,798",55.9,50.4,34.5,35.2
Whitfield GA,4794,63,359.9422045,17.12,41.95,39.0,4.9,13.9,,290.68,"104,628",43.7,40.2,38.7,39.2
Wilcox GA,250,25,22.5268705,19.42,42.35,45.0,4.8,10.8,,383.32,"8,635",45.8,38.9,41.2,48.8
Wilkes GA,269,6,20.62527688,18.59,42.4,44.3,6.5,14.5,,474.03,"9,777",45.5,39.3,41.2,47.4
Wilkinson GA,351,18,19.8084198,18.59,46.35,42.7,5.3,12.0,,452.03,"8,954",49.6,43.1,39.5,45.9
Worth GA,563,30,35.23607316,17.78,46.2,43.3,6.1,13.4,,574.61,"20,247",50.2,42.2,40.9,45.7
Hawaii HI,877,15,39.61356171,11.51,65.55,28.6,11.7,20.8,,5086.97,"201,513",66.8,64.3,29.1,28.0
Honolulu HI,11858,136,458.1909562,12.48,62.15,26.8,9.2,20.3,,2126.98,"974,563",65.1,59.2,28.0,25.5
Kauai HI,59,0,57.08318528,11.67,68.65,26.3,11.5,19.7,,1266.45,"72,293",71.6,65.7,26.9,25.6
Maui HI,503,12,69.78994276,11.57,67.15,29.2,13.2,22.6,,2398.87,"167,417",68.4,65.9,30.2,28.1
Ada ID,14016,153,454.1645448,11.81,64.3,30.8,8.9,17.9,,1060.38,"481,587",64.8,63.8,31.4,30.2
Adams ID,29,2,3.13405493,12.27,55.65,36.6,13.9,23.2,,1370.11,"4,294",56.6,54.7,36.5,36.7
Bannock ID,1530,8,76.5211329,13.85,60.4,36.2,6.7,14.5,,1147.5,"87,808",60.1,60.7,35.4,37.0
Bear Lake ID,52,1,5.836168044,12.14,59.35,32.7,4.0,8.1,,1049.49,"6,125",59.8,58.9,33.0,32.3
Benewah ID,161,3,11.85954261,13.28,55.85,35.7,13.2,25.9,,784.01,"9,298",56.4,55.3,35.1,36.2
Bingham ID,1183,10,22.07711971,14.52,54,40.5,5.5,11.8,,2120.34,"46,811",55.7,52.3,38.3,42.6
Blaine ID,723,6,8.650803791,10.71,66.1,26.2,13.6,23.1,,2661.14,"23,021",69.4,62.8,28.1,24.3
Boise ID,73,2,4.1068591,12.27,57.35,37.5,11.9,19.6,,1906.81,"7,831",58.4,56.3,37.0,38.0
Bonner ID,395,0,23.82711162,11.64,63.15,30.6,14.2,23.8,,1919.62,"45,739",66.5,59.8,29.9,31.2
Bonneville ID,3244,20,62.63981397,12.6,60.25,35.6,6.1,11.6,,1900.74,"119,062",61.8,58.7,36.9,34.3
Boundary,64,1,9.579877953,12.53,55,34.5,10.5,20.5,,1278.2,"12,245",57.2,52.8,33.6,35.4
Butte,60,0,1.162665759,12.69,58.1,34.7,7.3,14.5,,2233.66,"2,597",58.0,58.2,35.2,34.2
Camas,38,0,1.024966174,12.51,55.85,35.4,11.9,18.4,,1079.06,"1,106",56.1,55.6,36.4,34.4
Canyon,8646,103,380.8473621,14.61,54.85,38.4,8.6,16.4,,603.52,"229,849",53.8,55.9,35.5,41.2
Caribou,153,2,3.977806564,12.62,58,37.0,5.3,10.4,,1798.73,"7,155",58.6,57.4,37.5,36.4
Cassia,895,8,9.312329245,13.97,52.65,39.4,5.7,12.5,,2580.45,"24,030",53.4,51.9,39.2,39.5
Clark,38,0,0.478677604,14.55,47.75,40.0,8.0,17.2,,1765.28,845,48.3,47.2,38.9,41.0
Clearwater,87,0,3.518924871,11.8,56.25,35.4,13.5,25.1,,2488.26,"8,756",57.5,55.0,34.6,36.2
Custer,73,1,0.874026721,12.27,58.85,33.8,10.7,18.4,,4936.92,"4,315",59.8,57.9,34.3,33.2
Elmore,404,4,8.872541273,13.75,58.8,35.5,10.7,20.5,,3100.69,"27,511",61.6,56.0,34.9,36.1
Franklin,208,1,20.76002394,12.68,59.25,34.2,3.9,8.0,,668.4,"13,876",60.0,58.5,34.5,33.9
Fremont,285,3,6.909957957,11.98,58.25,31.1,5.1,10.1,,1895.67,"13,099",58.1,58.4,31.9,30.3
Gem,349,4,32.01300882,12.83,54.8,38.6,9.5,17.8,,565.77,"18,112",57.4,52.2,36.8,40.4
Gooding,362,0,20.68293613,14.23,51.85,39.5,9.2,18.6,,733.89,"15,179",50.1,53.6,38.3,40.7
Idaho,240,0,1.960182434,12.56,57.9,35.4,12.2,23.8,,8502.78,"16,667",57.3,58.5,35.2,35.6
Jefferson,708,3,27.01742009,12.57,52.35,36.8,5.0,9.5,,1105.62,"29,871",49.7,55.0,38.2,35.4
Jerome,862,7,40.55755844,14.49,48.7,41.2,9.5,19.1,,601.91,"24,412",47.0,50.4,38.3,44.0
Kootenai,2970,44,125.9315838,12.34,63.95,32.1,9.5,19.2,,1315.77,"165,697",66.1,61.8,31.6,32.5
Latah,674,0,37.24255762,11.53,61.85,32.3,10.9,24.5,,1076.94,"40,108",64.9,58.8,30.8,33.7
Lemhi,132,0,1.756578141,11.66,58.8,33.5,11.2,20.6,,4569.68,"8,027",59.0,58.6,34.0,33.0
Lewis,51,2,7.998666194,13.08,56.9,36.0,10.3,22.1,,479.83,"3,838",57.6,56.2,35.5,36.5
Lincoln,100,0,4.449714741,14.46,52.85,37.5,9.8,17.5,,1205.92,"5,366",53.1,52.6,36.5,38.5
Madison,1294,2,84.30047107,12.19,57.2,35.4,2.7,5.9,,473.39,"39,907",58.0,56.4,35.8,35.0
Minidoka,849,8,27.57296568,15.42,49.8,39.8,6.8,15.0,,763.03,"21,039",52.8,46.8,37.6,42.0
Nez Perce,518,24,47.18355908,12.56,57.1,38.1,12.0,25.2,,856.4,"40,408",58.6,55.6,37.7,38.5
Oneida,31,0,3.77052318,13.09,60,34.9,5.7,10.7,,1201.69,"4,531",60.0,60.0,35.2,34.6
Owyhee,353,5,1.536031056,14.97,50.65,41.0,11.4,21.5,,7697.11,"11,823",51.6,49.7,38.0,43.9
Payette,980,9,58.39001438,13.1,55.7,36.3,9.5,18.7,,410.19,"23,951",57.3,54.1,34.2,38.3
Power,307,1,5.324082097,15.28,55.4,37.6,6.1,14.5,,1442.69,"7,681",55.8,55.0,37.4,37.8
Shoshone,219,18,4.887691607,12.66,52.35,36.9,17.0,29.2,,2635.6,"12,882",52.8,51.9,36.8,36.9
Teton,222,1,26.94629383,11.67,61.05,30.2,8.9,15.9,,450.6,"12,142",61.3,60.8,31.2,29.2
Twin Falls,2772,41,45.04788522,13.01,58.2,35.7,8.5,17.8,,1928.57,"86,878",60.0,56.4,33.0,38.3
Valley,103,1,3.051006334,10.9,60.8,32.7,14.5,23.3,,3733.85,"11,392",61.9,59.7,32.8,32.6
Washington ID,395,6,6.917752443,13.55,51.35,38.4,11.6,22.0,,1473.6,"10,194",53.2,49.5,37.2,39.5
Adams IL,1319,11,75.09870082,12.8,55.85,35.0,10.2,22.7,,871.32,"65,435",59.6,52.1,33.7,36.3
Alexander,98,1,22.81132449,18.97,42.6,45.1,5.3,16.0,,252.55,"5,761",45.3,39.9,41.7,48.5
Bond,368,8,42.9247132,14.16,53.55,36.7,9.4,20.6,,382.67,"16,426",55.9,51.2,35.9,37.4
Boone,1309,24,189.8992765,13.21,55.6,36.3,9.9,22.0,,281.96,"53,544",58.3,52.9,35.7,36.9
Brown,76,0,21.40857905,14.83,48.95,39.0,10.1,22.8,,307.26,"6,578",51.2,46.7,38.4,39.5
Bureau,770,15,37.35916461,12.93,52.8,36.3,10.3,22.8,,873.36,"32,628",54.9,50.7,36.1,36.5
Calhoun,66,0,16.70367629,13.45,52.5,36.2,16.1,32.6,,283.71,"4,739",52.8,52.2,36.3,36.1
Carroll,259,6,30.70994612,13.04,54.85,37.0,10.9,23.6,,465.81,"14,305",55.5,54.2,37.2,36.7
Cass,421,11,31.65259537,14.98,50.55,39.0,7.4,21.1,,383.76,"12,147",52.3,48.8,38.7,39.2
Champaign,5227,27,210.2018926,13.27,57.5,34.3,9.7,20.2,,997.56,"209,689",58.5,56.5,32.2,36.3
Christian,680,21,45.13559961,14.45,51.35,37.9,10.2,22.1,,715.71,"32,304",53.7,49.0,39.3,36.4
Clark,207,4,30.58168783,13.54,53.85,39.0,6.5,16.7,,504.91,"15,441",55.9,51.8,39.3,38.6
Clay,236,1,28.05882478,13.81,51.45,38.0,7.2,18.4,,469.87,"13,184",52.8,50.1,36.9,39.0
Clinton,1355,23,74.60178749,13.57,51,37.4,15.9,30.8,,503.5,"37,562",53.2,48.8,38.2,36.6
Coles,1605,36,99.23740443,14.06,56.25,37.4,9.5,20.7,,510.1,"50,621",60.7,51.8,36.8,37.9
Cook,151474,5280,3150.201543,14.57,53.45,34.3,10.1,22.8,,1634.89,"5,150,233",53.0,53.9,31.3,37.3
Crawford,525,6,41.87585526,13.72,50.4,38.6,7.1,17.5,,445.77,"18,667",49.3,51.5,39.3,37.9
Cumberland,226,5,31.02414846,13.79,53.2,36.9,8.2,18.6,,347.02,"10,766",56.4,50.0,36.7,37.0
DeKalb,1863,41,165.1869232,13.3,54,38.3,8.9,20.5,,635.02,"104,897",53.4,54.6,39.8,36.7
De Witt,158,2,38.59519226,13.12,58.1,35.7,9.8,21.9,,405.18,"15,638",60.0,56.2,35.3,36.0
Douglas,363,7,46.62945573,13.51,49.55,39.1,7.6,19.6,,417.44,"19,465",51.7,47.4,38.4,39.8
DuPage,18788,577,2739.694838,10.97,62.15,30.7,10.7,23.9,,336.87,"922,921",61.7,62.6,32.9,28.4
Edgar,125,8,27.4919099,13.92,52.15,39.0,7.7,18.7,,624.22,"17,161",52.9,51.4,38.1,39.8
Edwards,78,0,28.71962995,13.93,52.1,37.5,6.2,16.1,,222.67,"6,395",53.8,50.4,37.8,37.2
Effingham,950,3,70.8603338,12.42,57.3,34.0,8.8,22.4,,479.93,"34,008",62.8,51.8,32.9,35.0
Fayette,489,10,29.41314327,14.35,50.2,39.2,6.8,17.6,,725.39,"21,336",52.6,47.8,37.5,40.8
Ford,113,5,26.6446016,13.1,51.25,38.6,8.2,20.3,,486.44,"12,961",53.4,49.1,39.0,38.2
Franklin,620,5,89.16832785,14.45,48.9,38.7,8.0,18.7,,431.42,"38,469",52.5,45.3,38.2,39.1
Fulton,244,0,38.90512768,13.48,49.9,39.2,9.5,21.0,,882.66,"34,340",50.6,49.2,38.3,40.1
Gallatin,84,2,14.70068814,14.53,46.05,41.4,9.0,21.9,,328.42,"4,828",47.5,44.6,41.4,41.3
Greene,241,15,23.73666197,13.94,52.45,38.0,10.2,22.5,,546.37,"12,969",54.4,50.5,37.1,38.9
Grundy,763,7,118.6088653,13.08,53.4,37.2,10.7,23.6,,430.44,"51,054",54.4,52.4,39.3,35.0
Hamilton,84,2,18.62065801,13.79,48.4,39.7,6.2,16.9,,435.86,"8,116",50.5,46.3,39.0,40.3
Hancock,245,3,21.73881018,12.91,55.3,34.6,13.0,24.1,,814.58,"17,708",58.0,52.6,36.3,32.8
Hardin,44,0,21.04770299,14.53,46.85,40.4,7.7,18.6,,181.54,"3,821",48.5,45.2,40.4,40.4
Henderson,82,0,16.81892952,13.15,52.75,37.9,10.8,22.0,,395.15,"6,646",55.2,50.3,38.4,37.3
Henry,723,5,59.24252701,13.19,53.25,36.3,9.3,21.1,,825.64,"48,913",56.2,50.3,37.9,34.6
Iroquois,388,19,24.24985019,13.45,52.65,38.3,8.1,19.9,,1118.11,"27,114",54.8,50.5,38.1,38.4
Jackson,1327,24,94.18461845,14.36,53.25,37.9,8.4,19.4,,602.54,"56,750",55.4,51.1,35.5,40.2
Jasper,224,10,19.29486407,13.47,54.55,36.9,9.8,21.9,,498.06,"9,610",56.4,52.7,37.0,36.7
Jefferson,747,38,64.55613801,13.57,50.7,38.1,6.5,16.7,,583.74,"37,684",54.1,47.3,36.8,39.4
Jersey,420,19,57.74565707,13.3,53,36.2,10.5,24.9,,377.05,"21,773",53.0,53.0,36.2,36.1
Jo Daviess,312,2,34.31697345,12.24,55.85,34.7,13.6,28.8,,618.79,"21,235",55.2,56.5,35.6,33.8
Johnson,240,0,35.59001404,14,47.85,39.5,7.5,16.8,,348.89,"12,417",50.0,45.7,39.0,39.9
Kane,13909,334,1015.803633,13.57,52.8,36.7,8.7,21.6,,524.12,"532,403",52.5,53.1,37.1,36.3
Kankakee,2934,79,161.2085284,14.78,50.9,41.8,9.1,21.4,,681.49,"109,862",51.8,50.0,40.9,42.6
Kendall,2252,26,399.7334903,12.86,58.85,34.3,9.8,21.6,,322.69,"128,990",59.7,58.0,36.4,32.2
Knox,806,4,69.05132409,13.73,50.15,39.0,9.9,21.3,,719.74,"49,699",52.5,47.8,38.9,39.1
Lake,17946,494,509.1444026,12.31,53.15,36.6,10.3,21.2,,1368.05,"696,535",54.8,51.5,37.7,35.5
LaSalle,1910,57,94.64951399,13.78,57.7,30.5,12.0,25.8,,1148.12,"108,669",57.5,57.9,30.1,30.8
Lawrence,279,6,41.92314892,14.92,47.15,41.2,5.5,15.4,,373.97,"15,678",48.7,45.6,42.7,39.6
Lee,472,1,46.74911564,12.7,50.55,35.7,11.4,24.4,,729.34,"34,096",51.1,50.0,36.0,35.4
Livingston,457,9,34.09693063,13.73,49.2,39.5,9.3,21.9,,1045.49,"35,648",50.3,48.1,40.1,38.8
Logan,493,2,46.2296459,14.17,51.95,40.5,8.5,20.1,,619.04,"28,618",54.2,49.7,40.4,40.6
Macon,1865,47,177.6716775,14.86,52.15,39.4,8.8,20.4,,585.4,"104,009",55.0,49.3,39.9,38.9
Macoupin,620,8,51.77894312,14.11,53.2,39.0,10.4,23.0,,867.65,"44,926",55.8,50.6,36.7,41.2
Madison,6242,148,355.1722741,14.43,55.9,36.6,10.0,22.5,,740.39,"262,966",58.1,53.7,35.5,37.7
Marion,700,5,64.62230559,14.23,49.85,39.5,7.3,18.2,,575.73,"37,205",53.1,46.6,38.7,40.3
Marshall,120,0,28.70047424,12.78,54.3,36.5,11.3,24.5,,398.53,"11,438",55.2,53.4,37.0,35.9
Mason,187,1,23.71097425,13.66,52.1,38.6,10.0,22.4,,563.41,"13,359",54.4,49.8,37.9,39.3
Massac,131,2,56.87853632,14.7,48.05,39.8,6.4,16.4,,242.13,"13,772",50.2,45.9,39.3,40.3
McDonough,523,15,50.30335898,13.5,54.85,36.0,9.1,19.4,,590.06,"29,682",57.1,52.6,36.0,36.0
McHenry,5029,124,503.5734154,12.22,58.3,33.0,11.1,24.0,,611.18,"307,774",57.3,59.3,32.8,33.1
McLean,3496,24,144.5778156,12.72,57.15,35.7,8.8,20.3,,1186.33,"171,517",58.4,55.9,35.9,35.5
Menard,137,1,38.66835764,13.01,55.2,37.7,9.5,21.0,,315.4,"12,196",56.8,53.6,38.0,37.4
Mercer,165,6,27.13434462,12.74,51.95,37.6,10.5,22.2,,568.91,"15,437",53.0,50.9,38.3,36.8
Monroe,760,24,87.08671712,12.65,55.7,35.6,11.0,24.4,,397.73,"34,637",57.3,54.1,37.0,34.1
Montgomery,438,13,40.03155863,14.17,50.85,37.7,8.8,19.8,,709.79,"28,414",51.0,50.7,37.7,37.7
Morgan,724,25,58.81283964,14.1,51.1,38.4,9.8,21.9,,572.29,"33,658",52.2,50.0,38.2,38.5
Moultrie,254,4,42.09533209,13.43,49.85,39.5,7.2,18.1,,344.48,"14,501",50.0,49.7,39.5,39.4
Ogle,877,6,66.3448312,13.1,53.5,36.1,10.4,22.5,,763.33,"50,643",54.5,52.5,36.1,36.1
Peoria,3792,55,284.0008876,12.94,54.65,35.5,9.3,20.4,,630.91,"179,179",56.5,52.8,33.2,37.8
Perry,366,16,46.8087011,14.54,48.75,39.6,8.2,19.5,,446.84,"20,916",52.4,45.1,39.4,39.8
Piatt,161,0,37.11593051,12.37,55.6,35.9,9.8,21.5,,440.35,"16,344",56.1,55.1,36.6,35.2
Pike,160,2,18.33034915,13.85,52.45,36.7,8.9,20.0,,848.92,"15,561",53.8,51.1,36.6,36.8
Pope,33,1,11.14907247,14.7,52.35,38.1,7.4,16.6,,374.65,"4,177",54.6,50.1,37.6,38.5
Pulaski,201,1,26.23684469,17.95,44.8,43.3,5.2,14.7,,203.34,"5,335",47.8,41.8,40.4,46.2
Putnam,69,0,33.31785196,12.77,52.1,37.1,12.7,24.9,,172.25,"5,739",53.6,50.6,37.7,36.4
Randolph,1007,13,53.21033334,14.47,49.2,40.6,8.9,21.2,,597.29,"31,782",51.1,47.3,40.7,40.4
Richland,275,9,42.85004005,13.1,52.7,37.8,7.8,19.2,,362.03,"15,513",54.8,50.6,37.8,37.8
Rock Island,3380,88,314.4551076,14.25,52.75,36.3,9.9,21.1,,451.19,"141,879",53.1,52.4,35.3,37.3
Saline,424,6,60.70182692,14.46,48.1,39.9,5.9,16.0,,386.99,"23,491",51.0,45.2,39.3,40.5
Sangamon,2803,50,221.9470762,12.85,54.5,36.3,9.5,21.7,,877.11,"194,672",57.0,52.0,35.3,37.3
Schuyler,64,1,15.33198922,13.25,53.85,37.2,9.2,20.7,,441.43,"6,768",56.1,51.6,37.4,37.0
Scott,82,0,19.58542664,14.03,54.8,36.6,8.9,20.9,,252.79,"4,951",56.1,53.5,37.2,36.0
Shelby,468,7,28.16597013,13.37,53.75,36.8,8.8,20.3,,768.09,"21,634",56.3,51.2,37.0,36.5
Stark,59,2,18.5338098,12.74,53.7,37.4,9.1,19.8,,288.23,"5,342",55.6,51.8,38.1,36.6
St. Clair,7894,200,385.2965178,16.18,51.85,39.5,9.4,21.8,,673.99,"259,686",53.9,49.8,38.9,40.0
Stephenson,635,7,78.78820072,13.52,55.45,37.0,8.5,20.4,,564.78,"44,498",57.9,53.0,36.8,37.2
Tazewell,2019,38,200.3267775,12.81,54.55,35.9,9.3,21.0,,657.94,"131,803",56.7,52.4,35.9,35.9
Union,607,24,39.44806348,13.61,49.3,39.4,6.5,16.9,,422.15,"16,653",51.0,47.6,38.2,40.5
Vermilion,1133,6,83.97215633,15.48,50.8,39.4,7.5,18.1,,902.18,"75,758",55.9,45.7,37.4,41.4
Wabash,172,4,50.57511634,13.51,50.65,38.3,7.1,18.8,,227.78,"11,520",52.5,48.8,39.6,37.0
Warren,373,3,31.00826568,13.26,51.85,37.8,8.9,20.7,,543.21,"16,844",54.7,49.0,37.3,38.2
Washington,242,1,24.61579367,13.15,52.15,38.1,11.9,25.4,,564.15,"13,887",55.7,48.6,38.8,37.3
Wayne,343,6,22.65930688,13.71,49.45,40.1,5.4,15.3,,715.6,"16,215",50.4,48.5,39.6,40.6
White,195,1,26.98118472,13.87,50.7,39.5,7.0,17.2,,501.72,"13,537",52.3,49.1,39.6,39.4
Whiteside,945,21,79.15387485,13.59,51.55,35.7,9.6,22.3,,697.06,"55,175",51.3,51.8,36.0,35.4
Will,15153,399,813.1649891,13.72,55.45,37.4,9.5,22.7,,849.45,"690,743",52.6,58.3,38.2,36.6
Williamson,1521,55,149.8582358,13.61,53.8,37.7,7.6,18.4,,444.4,"66,597",58.2,49.4,38.0,37.3
Winnebago,7354,156,544.1087555,13.87,54.2,37.0,9.3,21.2,,519.33,"282,572",56.7,51.7,35.5,38.5
Woodford IL,479,9,70.85559527,11.81,57.5,35.1,9.3,20.6,,542.78,"38,459",59.4,55.6,35.9,34.3
Adams IN,334,5,105.2419473,15.16,48.2,39.0,5.8,15.5,,339.95,"35,777",49.2,47.2,38.7,39.2
Allen,6882,219,574.5735753,14.4,54,39.3,7.4,18.5,,660.14,"379,299",57.7,50.3,35.8,42.7
Bartholomew,1261,61,204.6484928,13.85,50.15,35.6,7.5,17.7,,409.38,"83,779",49.8,50.5,35.8,35.3
Benton,90,0,21.52453127,13.75,53.65,36.5,7.5,20.6,,406.42,"8,748",56.8,50.5,36.2,36.8
Blackford,164,3,71.07967598,15.02,48.3,39.6,7.2,17.5,,165.42,"11,758",54.4,42.2,40.6,38.6
Boone,1096,49,160.2678888,11.47,53.65,32.9,7.2,17.7,,423.31,"67,843",54.9,52.4,29.7,36.1
Brown,112,3,47.66145587,13.82,54.6,35.8,7.7,17.3,,316.65,"15,092",56.8,52.4,36.8,34.8
Carroll,292,13,54.01002506,13.65,50.6,38.3,8.6,19.6,,375.06,"20,257",54.9,46.3,39.0,37.5
Cass,2081,12,90.82781058,14.44,49.45,41.0,7.4,18.7,,414.95,"37,689",54.5,44.4,40.2,41.7
Clark,2487,64,314.4406347,15.21,48.5,37.8,7.2,17.4,,376.23,"118,302",50.7,46.3,36.9,38.6
Clay,348,5,72.76233283,14.08,50.4,40.9,6.7,16.4,,360.42,"26,225",50.6,50.2,40.2,41.6
Clinton,713,18,79.9383173,14.97,47.6,39.4,7.2,18.8,,405.3,"32,399",51.1,44.1,37.4,41.4
Crawford,124,2,34.2441804,14.99,47,39.9,8.0,16.5,,308.87,"10,577",48.9,45.1,38.6,41.2
Daviess,732,32,76.33729314,14.57,44.95,41.6,5.8,16.4,,436.89,"33,351",46.6,43.3,39.9,43.2
Dearborn,740,30,161.0590074,14.16,53.45,37.2,9.4,20.1,,307.08,"49,458",55.5,51.4,38.1,36.2
Decatur,497,42,71.11985861,14.75,48.25,37.5,8.6,19.9,,373.44,"26,559",48.2,48.3,39.2,35.8
DeKalb,559,12,119.4794844,13.81,55.05,36.6,8.2,19.3,,363.87,"43,475",55.1,55.0,34.7,38.4
Delaware,2295,68,288.2560929,15.25,45.9,40.4,7.4,15.9,,395.95,"114,135",52.9,38.9,39.2,41.5
Dubois,1112,20,98.18724871,13.4,52.05,36.7,10.6,24.6,,435.25,"42,736",52.5,51.6,35.5,37.9
Elkhart,7399,124,441.0220788,14.5,48.9,37.5,6.3,15.6,,467.87,"206,341",49.6,48.2,33.3,41.6
Fayette,594,14,107.3812401,15.92,44.45,42.1,7.5,16.9,,215.14,"23,102",46.0,42.9,42.2,41.9
Floyd,1536,67,529.3736938,14.11,48.45,36.0,7.8,17.8,,148.33,"78,522",51.9,45.0,36.6,35.4
Fountain,187,2,41.075512,14.42,48.35,37.5,7.9,18.1,,397.95,"16,346",52.0,44.7,36.8,38.2
Franklin,334,26,58.15106296,14.68,52.25,36.6,8.3,19.3,,391.36,"22,758",53.8,50.7,38.3,34.9
Fulton,272,2,53.78173887,13.94,52.75,39.3,8.1,18.8,,371.39,"19,974",55.9,49.6,39.7,38.9
Gibson,674,7,67.44209345,14.04,49.55,37.2,8.6,19.3,,499.08,"33,659",52.0,47.1,37.3,37.0
Grant,1429,40,158.5406422,16.13,48.4,39.7,7.3,16.3,,414.84,"65,769",54.2,42.6,37.9,41.4
Greene,455,39,58.47055591,14.53,49.05,38.0,7.1,17.4,,545.95,"31,922",51.9,46.2,36.6,39.3
